"dataset","type","access","source","provider","experiment","frequency","endpoint","dictionary"
"CORDEXbc_output_EUR-11_IPSL_ICHEC-EC-EARTH_historical_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_ICHEC-EC-EARTH_historical_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_ICHEC-EC-EARTH_rcp85_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_ICHEC-EC-EARTH_rcp85_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_IPSL-IPSL-CM5A-MR_historical_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_IPSL-IPSL-CM5A-MR_historical_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_IPSL-IPSL-CM5A-MR_rcp45_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_IPSL-IPSL-CM5A-MR_rcp45_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_IPSL-IPSL-CM5A-MR_rcp85_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_IPSL-IPSL-CM5A-MR_rcp85_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_MOHC-HadGEM2-ES_historical_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_MOHC-HadGEM2-ES_historical_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_MOHC-HadGEM2-ES_rcp85_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_MOHC-HadGEM2-ES_rcp85_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_NCC-NorESM1-M_historical_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_NCC-NorESM1-M_historical_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_NCC-NorESM1-M_rcp85_IPSL-WRF381P_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_NCC-NorESM1-M_rcp85_IPSL-WRF381P_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_CNRM-CERFACS-CNRM-CM5_historical_KNMI-RACMO22E_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_CNRM-CERFACS-CNRM-CM5_historical_KNMI-RACMO22E_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_CNRM-CERFACS-CNRM-CM5_rcp45_KNMI-RACMO22E_v2_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_CNRM-CERFACS-CNRM-CM5_rcp45_KNMI-RACMO22E_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_CNRM-CERFACS-CNRM-CM5_rcp85_KNMI-RACMO22E_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_CNRM-CERFACS-CNRM-CM5_rcp85_KNMI-RACMO22E_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_ICHEC-EC-EARTH_historical_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_ICHEC-EC-EARTH_historical_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_ICHEC-EC-EARTH_rcp45_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_ICHEC-EC-EARTH_rcp45_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_ICHEC-EC-EARTH_rcp85_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_ICHEC-EC-EARTH_rcp85_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_IPSL-IPSL-CM5A-MR_historical_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_IPSL-IPSL-CM5A-MR_historical_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_IPSL-IPSL-CM5A-MR_rcp85_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_IPSL-IPSL-CM5A-MR_rcp85_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_MOHC-HadGEM2-ES_historical_KNMI-RACMO22E_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_MOHC-HadGEM2-ES_historical_KNMI-RACMO22E_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_MOHC-HadGEM2-ES_rcp45_KNMI-RACMO22E_v2_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_MOHC-HadGEM2-ES_rcp45_KNMI-RACMO22E_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_MOHC-HadGEM2-ES_rcp85_KNMI-RACMO22E_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_MOHC-HadGEM2-ES_rcp85_KNMI-RACMO22E_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_MPI-M-MPI-ESM-LR_historical_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_MPI-M-MPI-ESM-LR_historical_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_MPI-M-MPI-ESM-LR_rcp85_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_MPI-M-MPI-ESM-LR_rcp85_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_NCC-NorESM1-M_historical_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_NCC-NorESM1-M_historical_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_KNMI_NCC-NorESM1-M_rcp85_KNMI-RACMO22E_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_KNMI_NCC-NorESM1-M_rcp85_KNMI-RACMO22E_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_ICHEC-EC-EARTH_historical_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_ICHEC-EC-EARTH_historical_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_ICHEC-EC-EARTH_rcp85_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_ICHEC-EC-EARTH_rcp85_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_MOHC-HadGEM2-ES_historical_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_MOHC-HadGEM2-ES_historical_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_MOHC-HadGEM2-ES_rcp85_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_MOHC-HadGEM2-ES_rcp85_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_MPI-M-MPI-ESM-LR_historical_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_MPI-M-MPI-ESM-LR_historical_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_MPI-M-MPI-ESM-LR_rcp85_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_MPI-M-MPI-ESM-LR_rcp85_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_NCC-NorESM1-M_historical_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_NCC-NorESM1-M_historical_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MOHC_NCC-NorESM1-M_rcp85_MOHC-HadREM3-GA7-05_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MOHC_NCC-NorESM1-M_rcp85_MOHC-HadREM3-GA7-05_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MPI-CSC_MPI-M-MPI-ESM-LR_historical_MPI-CSC-REMO2009_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MPI-CSC_MPI-M-MPI-ESM-LR_historical_MPI-CSC-REMO2009_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MPI-CSC_MPI-M-MPI-ESM-LR_rcp45_MPI-CSC-REMO2009_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MPI-CSC_MPI-M-MPI-ESM-LR_rcp45_MPI-CSC-REMO2009_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_MPI-CSC-REMO2009_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_MPI-CSC_MPI-M-MPI-ESM-LR_rcp85_MPI-CSC-REMO2009_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_CNRM-CERFACS-CNRM-CM5_historical_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_CNRM-CERFACS-CNRM-CM5_historical_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_CNRM-CERFACS-CNRM-CM5_rcp45_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_CNRM-CERFACS-CNRM-CM5_rcp45_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_CNRM-CERFACS-CNRM-CM5_rcp85_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_CNRM-CERFACS-CNRM-CM5_rcp85_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_ICHEC-EC-EARTH_historical_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_ICHEC-EC-EARTH_historical_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_ICHEC-EC-EARTH_rcp45_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_ICHEC-EC-EARTH_rcp45_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_ICHEC-EC-EARTH_rcp85_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_ICHEC-EC-EARTH_rcp85_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_IPSL-IPSL-CM5A-MR_historical_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_IPSL-IPSL-CM5A-MR_historical_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_IPSL-IPSL-CM5A-MR_rcp45_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_IPSL-IPSL-CM5A-MR_rcp45_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_IPSL-IPSL-CM5A-MR_rcp85_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_IPSL-IPSL-CM5A-MR_rcp85_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_MOHC-HadGEM2-ES_historical_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_MOHC-HadGEM2-ES_historical_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_MOHC-HadGEM2-ES_rcp45_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_MOHC-HadGEM2-ES_rcp45_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_MOHC-HadGEM2-ES_rcp85_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_MOHC-HadGEM2-ES_rcp85_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_MPI-M-MPI-ESM-LR_historical_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_MPI-M-MPI-ESM-LR_historical_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_MPI-M-MPI-ESM-LR_rcp85_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_MPI-M-MPI-ESM-LR_rcp85_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_NCC-NorESM1-M_historical_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_NCC-NorESM1-M_historical_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_NCC-NorESM1-M_rcp45_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_NCC-NorESM1-M_rcp45_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_SMHI_NCC-NorESM1-M_rcp85_SMHI-RCA4_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_SMHI_NCC-NorESM1-M_rcp85_SMHI-RCA4_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"ERA5-Land_Canarias_day","reanalysis","opendap","ERA5-Land","ecmwf","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/REANALYSIS/ERA5-Land/Canarias/day/ERA5-Land_Canarias_day.ncml","../../Harmonization_dictionaries/ERA5-Land.dic"
"ERA5-Land_Iberia_day","reanalysis","opendap","ERA5-Land","ecmwf","","day","https://hub.climate4r.ifca.es/thredds/dodsC/pti-clima/ncmls/REANALYSIS/ERA5-Land/Iberia/day/ERA5-Land_Iberia_day.ncml","../../Harmonization_dictionaries/ERA5-Land.dic"
